2	1	99	99	99	99	99	99	99	3	99	99	99	99	99	99	99
1	99	4	99	99	99	99	3	99	99	2	99	99	99	99	99	99
99	1	5	99	99	3	99	4	2	99	99	99	99	99	99	99	99
99	99	99	1	3	99	99	2	99	99	99	99	99	99	99	99	99
1	2	99	99	99	99	99	99	99	3	99	99	99	99	99	99	99
1	99	99	99	2	99	99	3	99	99	99	99	99	99	99	99	99
99	99	3	4	99	99	99	99	99	1	2	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	3	6	99	4	99	2	99	99	1	5	99	99	99	99	99	99
5	3	6	9	10	11	2	7	8	1	4	99	99	99	99	99	99
1	99	99	99	99	99	99	99	99	99	99	2	99	99	99	99	99
99	3	99	99	99	99	4	99	99	1	2	99	99	99	99	99	99
3	99	99	99	2	99	99	5	6	4	1	99	99	99	99	99	99
1	3	99	99	99	99	99	2	99	99	99	99	99	99	99	99	99
1	99	99	99	99	99	99	2	99	3	99	99	99	99	99	99	99
1	99	99	99	99	99	99	2	99	3	99	99	99	99	99	99	99
6	4	5	99	99	99	3	7	99	1	2	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	1	99	99	99	99	99	99
1	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	2	99	99	99	99	99	4	5	3	1	99	99	99	99	99	99
2	3	2	99	99	99	3	1	99	3	3	99	99	99	99	99	99
7	1	6	5	4	8	2	9	11	3	10	99	99	99	99	99	99
99	2	99	99	99	99	99	99	99	1	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	1	99	99	99	99	99	99	99
1	99	99	99	99	99	99	99	99	99	1	99	99	99	99	99	99
1	1	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	2	99	99	99	99	99	99	99	1	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	1	99	99	99	99	99	99
99	99	3	99	1	99	2	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	1	99	99	99	99	99	99
1	2	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
1	99	99	99	99	99	99	2	99	99	99	99	99	99	99	99	99
2	3	99	99	99	4	99	99	99	1	99	99	99	99	99	99	99
6	1	6	6	6	3	1	2	3	1	1	99	99	99	99	99	99
99	99	99	2	1	99	3	99	99	99	99	99	99	99	99	99	99
3	2	3	3	3	3	2	3	3	1	1	99	99	99	99	99	99
2	99	99	99	99	99	99	1	99	99	99	99	99	99	99	99	99
1	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
1	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
1	2	99	99	99	99	99	99	99	99	99	99	3	99	99	99	99
2	3	7	10	11	8	9	4	6	1	5	99	99	99	99	99	99
99	2	99	99	99	99	99	3	99	1	99	99	99	99	99	99	99
3	1	7	8	10	9	6	2	5	11	4	99	99	99	99	99	99
3	2	99	99	99	99	4	99	99	1	99	99	99	99	99	99	99
99	3	99	99	99	99	99	99	99	1	2	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	1	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	1	99	99	99	99	99	99	99
99	99	99	99	99	99	99	1	2	99	3	99	99	99	99	99	99
99	1	99	99	99	99	99	99	99	1	99	99	99	99	99	99	99
3	99	99	99	99	99	99	99	99	1	2	99	99	99	99	99	99
3	5	2	99	99	99	4	1	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	2	99	99	1	99	99	99	99	99	99
99	99	99	99	99	99	99	2	3	99	1	99	99	99	99	99	99
2	99	99	99	99	99	99	1	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	1	99	99	99	99	99	99	99	99	99
2	99	99	99	99	99	99	99	99	2	3	99	99	99	99	99	99
99	1	99	99	99	99	99	3	99	2	99	99	99	99	99	99	99
99	99	99	99	99	4	99	2	99	3	1	99	99	99	99	99	99
99	99	99	99	99	3	99	99	99	2	1	99	99	99	99	99	99
1	99	2	3	4	5	99	99	99	99	6	99	99	99	99	99	99
2	99	1	99	99	99	99	99	99	99	99	99	99	99	99	99	99
5	6	10	11	12	1	4	7	3	8	5	99	99	99	99	99	99
3	1	4	9	11	7	2	5	10	6	8	99	99	99	99	99	99
1	1	1	1	1	1	1	99	99	99	99	99	1	99	99	99	99
99	1	99	99	5	99	2	99	99	4	3	99	99	99	99	99	99
1	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
7	1	7	6	5	99	4	9	10	2	4	99	99	99	99	99	99
1	99	99	99	99	99	99	99	99	1	99	99	99	99	99	99	99
